PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
energy_nodes['network.line.engine.core_nozzle'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.core_nozzle'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].mass_properties.total | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].mass_properties.volume | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].origin            | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.core_nozzle'].widths.effective  | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.maximum    | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.projected  | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.reference  | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].widths.total      | 1      | 0      | float
energy_nodes['network.line.engine.core_nozzle'].working_fluid.composition | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.core_nozzle'].working_fluid.molecular_mass | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.inlet'].add_mixer               | 1      | 0      | bool
energy_nodes['network.line.engine.inlet'].areas.effective         | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.exit              | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.exposed           | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.front_projected   | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.inflow            | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.inlet             | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.maximum           | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.outflow           | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.projected         | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.reference         | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.side_projected    | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.top_projected     | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.total             | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].areas.wetted            | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.A_exit | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.A_intake | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.A_throat | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.eff   | 6      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.exit_mach_number | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.noise_speed | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.output_temperature | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].design_parameters.rotation_speed | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.effective     | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.maximum       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.projected     | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.reference     | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].diameters.total         | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.effective       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.maximum         | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.projected       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.reference       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.side_projected  | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.top_projected   | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].heights.total           | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.effective       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.maximum         | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.projected       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.reference       | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.side_projected  | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.top_projected   | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].lengths.total           | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.inlet'].mass_properties.density | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].mass_properties.empty   | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.inlet'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.inlet'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].mass_properties.total   | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].mass_properties.volume  | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].origin                  | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.inlet'].widths.effective        | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.front_projected  | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.maximum          | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.projected        | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.reference        | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.side_projected   | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.top_projected    | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].widths.total            | 1      | 0      | float
energy_nodes['network.line.engine.inlet'].working_fluid.composition | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.inlet'].working_fluid.molecular_mass | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].add_mixer             | 1      | 0      | bool
energy_nodes['network.line.engine.turbine'].areas.effective       | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.exit            | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.exposed         | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.inflow          | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.inlet           | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.maximum         | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.outflow         | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.projected       | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.reference       | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.side_projected  | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.top_projected   | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.total           | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].areas.wetted          | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.A_exit | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.A_intake | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.A_throat | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.eff | 6      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.exit_mach_number | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.noise_speed | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.output_temperature | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].design_parameters.rotation_speed | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.effective   | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.maximum     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.projected   | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.reference   | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].diameters.total       | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.effective     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.maximum       | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.projected     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.reference     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].heights.total         | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.effective     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.maximum       | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.projected     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.reference     | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].lengths.total         | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.Np_des            | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.Np_grid           | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].map.PR_des            | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.PR_grid           | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].map.Wp_des            | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.Wp_table          | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].map.alpha_des         | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.alpha_grid        | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].map.eff_des           | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.eff_table         | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].map.s_Np              | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.s_PR              | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.s_Wp              | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].map.s_eff             | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].mass_properties.density | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].mass_properties.empty | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].mass_properties.total | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].mass_properties.volume | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].origin                | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].widths.effective      | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.maximum        | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.projected      | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.reference      | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.top_projected  | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].widths.total          | 1      | 0      | float
energy_nodes['network.line.engine.turbine'].working_fluid.composition | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turbine'].working_fluid.molecular_mass | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turboshaft'].areas.effective    | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.exit         | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.exposed      | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.inflow       | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.inlet        | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.maximum      | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.outflow      | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.projected    | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.reference    | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.total        | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].areas.wetted       | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.effective | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.maximum  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.reference | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].diameters.total    | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.effective  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.maximum    | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.projected  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.reference  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].heights.total      | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].inputs[0]          | 1      | 0      | bool
energy_nodes['network.line.engine.turboshaft'].inputs[1]          | 1      | 0      | bool
energy_nodes['network.line.engine.turboshaft'].lengths.effective  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.maximum    | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.projected  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.reference  | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].lengths.total      | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turboshaft'].mass_properties.density | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].mass_properties.empty | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turboshaft'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turboshaft'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].mass_properties.total | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].mass_properties.volume | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].origin             | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.turboshaft'].widths.effective   | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.maximum     | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.projected   | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.reference   | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.turboshaft'].widths.total       | 1      | 0      | float
